Kernel radius,wm_parallel2_cpu,Kernel radius,adams_gpu_static,adams_gpu_dynamic,npp,arrayfire,opencv_cuda,wavelet_matrix_cuda,wm_runtimeonly_cuda
1,1.017111,1,98478.664062,1383.505859,47344.011719,58572.171875,inf,211.030731,365.834442
2,1.016527,2,75913.429688,943.314819,17623.835938,23641.564453,inf,212.844559,369.715637
3,0.995161,3,37027.667969,669.750610,1883.101685,289.017395,inf,210.039658,362.432922
4,0.988791,4,17153.154297,489.104736,77.043816,67.241875,inf,204.992737,351.215668
5,0.982148,5,11860.303711,370.756439,34.714077,1530.755371,inf,191.577194,311.564728
6,0.980790,6,8828.494141,267.861450,20.090923,11.342966,inf,192.883453,313.161652
7,0.958049,7,6561.922852,192.154800,13.077167,6.355157,inf,181.443268,295.398560
8,0.959487,8,5125.165039,153.669586,9.290743,inf,inf,163.229904,239.990417
9,0.960134,9,3672.360352,132.849274,6.879362,inf,inf,173.498718,279.142761
10,0.954020,10,1202.004395,113.589088,5.350379,inf,inf,157.218781,259.188019
11,0.948969,11,1045.054932,99.041687,4.272497,inf,inf,147.396759,200.472305
12,0.943498,12,729.367920,85.622818,3.493311,inf,inf,131.960037,172.375488
13,0.936447,13,484.466858,73.644272,2.918910,inf,inf,129.644928,161.864960
14,0.919439,14,367.901581,59.676628,2.471588,inf,inf,126.098579,154.500488
15,0.930637,15,260.229065,51.651535,2.119943,inf,inf,106.093185,137.287521
16,0.931649,16,161.238342,44.872181,1.837784,inf,inf,98.437088,118.314713
17,0.926241,17,130.838577,39.948711,1.609215,inf,inf,100.208069,121.024307
18,0.921782,18,97.806662,34.705402,1.421410,inf,inf,97.828651,106.681366
19,0.918576,19,inf,31.907249,1.263205,inf,inf,88.284706,116.573586
20,0.914599,20,inf,26.043697,1.126521,inf,inf,88.271103,102.154694
21,0.923238,21,inf,23.815456,1.010154,inf,inf,79.630302,97.299858
22,0.922212,22,inf,22.163858,0.910808,inf,inf,85.017998,96.885368
23,0.920016,23,inf,19.181643,0.827028,inf,inf,83.089828,96.792107
24,0.917932,24,inf,17.239603,0.752950,inf,inf,77.681000,93.147308
25,0.921828,25,inf,15.925960,0.692827,inf,inf,82.179733,100.364464
26,0.918620,26,inf,12.720737,0.635097,inf,inf,84.575020,99.807343
27,0.916964,27,inf,11.723395,0.583061,inf,inf,77.122414,94.057495
28,0.914468,28,inf,10.331124,0.539146,inf,inf,79.362961,89.454559
29,0.911807,29,inf,9.692502,0.499392,inf,inf,76.968300,89.553055
30,0.909188,30,inf,8.665371,0.462766,inf,inf,76.026581,96.195793
31,0.909128,31,inf,7.854431,0.429236,inf,inf,75.608444,92.228325
32,0.911856,32,inf,6.820131,0.400020,inf,inf,75.727913,87.581512
33,0.892589,33,inf,6.143052,0.377185,inf,inf,73.977386,88.053360
34,0.886632,34,inf,5.904129,0.354207,inf,inf,74.477173,85.752823
35,0.884686,35,inf,5.226828,0.333407,inf,inf,72.428658,85.863777
36,0.896967,36,inf,4.844762,0.315025,inf,inf,73.487480,86.233101
37,0.893079,37,inf,4.372622,0.297541,inf,inf,70.395897,82.745857
38,0.892622,38,inf,3.884632,0.280437,inf,inf,72.771378,83.222961
39,0.891049,39,inf,3.432505,0.264664,inf,inf,71.207565,81.757027
40,0.875486,40,inf,3.262611,0.250006,inf,inf,70.375473,82.846916
41,0.886079,41,inf,2.994072,0.236747,inf,inf,72.458168,85.111382
42,0.882623,42,inf,2.650388,0.224622,inf,inf,71.136711,82.479752
43,0.881819,43,inf,2.562460,0.213643,inf,inf,71.850845,81.557426
44,0.880165,44,inf,2.324798,0.203161,inf,inf,71.011642,82.835243
45,0.878111,45,inf,2.249564,0.192974,inf,inf,69.790268,83.730705
46,0.867752,46,inf,1.911552,0.183908,inf,inf,71.072754,85.007248
47,0.867031,47,inf,1.843569,0.175560,inf,inf,69.220146,83.697105
48,0.868269,48,inf,1.653137,0.166937,inf,inf,70.192200,82.352257
49,0.864091,49,inf,1.575383,0.157464,inf,inf,68.362465,80.244888
50,0.862217,50,inf,1.416231,0.150505,inf,inf,70.448883,78.855392
